Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
16	NCT02842671	Autism Spectrum Ambassador Program	ASAP	Completed	No Results Available	Autism Spectrum Disorder	Other: Assigned Ambassador	Patient Satisfaction Survey (questionnaire)|Medical Student Satisfaction Survey (questionnaire)|Medical Student Career Interest (questionnaire)|Medical Student Comfort Level (questionnaire)	Milton S. Hershey Medical Center	All	30 Months to 17 Years   (Child)	Not Applicable	23	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	00004103	December 1, 2016	November 25, 2019	November 25, 2019	July 25, 2016		June 18, 2021	Penn State Hershey Children's Hospital, Hershey, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT02842671
17	NCT04666493	Adapting Anxiety Intervention for Youth With Autism for Rapid Response to COVID-19		Unknown status	No Results Available	Autism Spectrum Disorder	Other: Cognitive behavior therapy (CBT), specifically using the Facing Your Fears (FYF) curriculum	Screen for Child Anxiety Related Emotional Disorders (SCARED), Parent version|Screen for Child Anxiety Related Emotional Disorders (SCARED), Child version	Evdokia Anagnostou|Anagnostou, Evdokia, M.D.	All	8 Years to 13 Years   (Child)	Not Applicable	100	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	0240	December 4, 2020	November 30, 2021	November 30, 2021	December 14, 2020		December 14, 2020	Holland Bloorview Kids Rehabilitation Hospital, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT04666493
18	NCT05580432	The Effect of Parenting With Positive Behavior Interventions on Community Inclusion for Military Connected and Dependent Children With Autism and Their Parents		Recruiting	No Results Available	Autism	Behavioral: Parenting with Positive Behavior Interventions	Change in frequency of child with ASD's challenging behavior|Change in severity of child with ASD's challenging behavior|Change in frequency of participation by child with ASD|Change in involvement during participation by child with ASD|Change in parent desire for change in participation by child with ASD|Change in environmental support for participation by child with ASD|Change in community participation by parents|Change in parental stress|Change in child's behavior|Change in child's response to behavior|Parental acceptability the treatment	Virginia Commonwealth University	All	5 Years to 11 Years   (Child)	Not Applicable	40	Other	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	HM20025356	February 2023	July 2024	July 2024	October 14, 2022		December 6, 2022	Virginia Commonwealth University, Richmond, Virginia, United States		https://ClinicalTrials.gov/show/NCT05580432
19	NCT02111551	Phase I Nicotinic Agonist Treatment Trial for Autism		Terminated	No Results Available	Autism	Drug: DMXB-A 150 mg|Other: placebo|Drug: DMXB-A 75 mg	Difference between drug and placebo on theTotal Scale Score on the repeatable Battery for the Assessment of neuropsychological Status at 2 hours after administration|Difference between drug and placebo on the CPT at 30 minutes after administration|Difference between the P50 auditory evoked potential test/conditioning ratio 1 hour after administration|Difference between placebo and drug on the Social Responsiveness scale 2 hours after administration	University of Colorado, Denver	All	18 Years to 50 Years   (Adult)	Phase 1	2	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	14-0614	June 2015	May 2016	May 2016	April 11, 2014		June 16, 2016	University of Colorado Denver, Aurora, Colorado, United States		https://ClinicalTrials.gov/show/NCT02111551
20	NCT04209452	Improving Working Memory of Children With Autism		Terminated	No Results Available	Autism	Behavioral: Rehearsal strategy|Behavioral: Reinforcement|Behavioral: Rehearsal strategy and reinforcement	Change in percent recall|Change in percent strategy used.	Arizona State University|Shanghai Xuhui Clover Children Healthy Garden|Jingdezhen Kindkids Autism Rehabilitation and Training Center|Sunshine Special Education Center	All	4 Years to 8 Years   (Child)	Not Applicable	15	Other	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STUDY00010960	January 15, 2020	November 10, 2020	November 10, 2020	December 24, 2019		November 12, 2020	Jingdezhen Kindkids Autism Rehabilitation and Training Center, Jingdezhen, Jiangxi, China|Sunshine Special Education Center, Taizhou, Zhejiang, China|Shanghai Xuhui Clover Children Healthy Garden, Shanghai, China		https://ClinicalTrials.gov/show/NCT04209452
21	NCT03569176	Examining the Efficacy of a Mobile Therapy for Children With Autism Spectrum Disorder		Completed	No Results Available	Autism Spectrum Disorder	Device: Autism Glass	Change in socialization subscale scores of the Vineland Adaptive Behavior Scales, 2nd Edition (VABS-II) from baseline to week 6.|Change in Parent Rated Social Responsiveness Scale 2 (SRS-2) from baseline to week 6|Change in NEPSY-II, Affect Recognition subscale scores from baseline to week 6|Change in Emotion Guessing Game (EGG) scores from baseline to week 6|Change in ASD symptoms as measured by Brief Observation of Social Communication Change (BOSCC) from baseline to week 6|Change in adaptive social and personal skills as measured by Vineland Adaptive Behavior Scales, 2nd edition (VABS-II) Full Scale from baseline to week 6.|Change in child's emotional, behavioral, and social problems from Baseline (week 0) to Week 6 as measured by Child Behavior Checklist (CBCL).	Dennis Paul Wall|Stanford University	All	6 Years to 12 Years   (Child)	Not Applicable	74	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment	IRB-34059	November 1, 2016	April 11, 2018	April 15, 2018	June 26, 2018		July 17, 2018			https://ClinicalTrials.gov/show/NCT03569176
22	NCT02627508	Pilot Trial of Pregnenolone in Autism		Recruiting	No Results Available	Autism Spectrum Disorder|Autism	Drug: Pregnenolone|Drug: Placebo	Change from baseline in parent rated Aberrant Behavior Checklist Irritability (ABC-I) score during treatment|Change from baseline in parent rated Aberrant Behavior Checklist (ABC) scores during treatment|Change from baseline in parent rated Sensory Profile Questionnaire (SPQ) scores during treatment|Change from baseline in Vineland Adaptive Behavior Scales Second Edition (VABS-II)|Change from baseline in Clinical Global Impression (CGI) scores during treatment|Change from baseline in levels of pregnenolone and its related neurosteroids in peripheral blood|Change from baseline on the Autism Diagnostic Observation Schedule (ADOS)|Change from baseline in laboratory based eye-gaze measures|Change from baseline in laboratory based electroencephalography (EEG) measures|Change from baseline in laboratory clinical lab values including complete metabolic panel, complete blood count with differential, cholesterol panel and routine urinalysis.|Change from baseline in parent rated Social Responsiveness Scale (SRS) scores during treatment|Change from baseline on the Dosage Record Treatment Emergent Symptom Scale (DOTES) scores during treatment	Stanford University|Simons Foundation	All	14 Years to 25 Years   (Child, Adult)	Phase 2	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	IRB-34762	January 29, 2016	April 2023	April 2023	December 11, 2015		February 16, 2022	Stanford University School of Medicine, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT02627508
23	NCT05140356	Therapeutic Intervention Effects of rTMS on Children With Autism Spectrum Disorder		Recruiting	No Results Available	Autism	Device: Applied high amplitude repeated transcranial magnetic stimulation|Device: Applied low amplitude repeated transcranial magnetic stimulation	The gray matter volume of children with autism at baseline and after repeated transcranial magnetic stimulation intervention as assessed by magnetic resonance imaging.|The functional connectivity of whole brain of whole brain in children with autism with repeated transcranial magnetic stimulation intervention as assessed by functional magnetic resonance imaging.	University of Electronic Science and Technology of China	All	2 Years to 8 Years   (Child)	Not Applicable	60	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science	UESTC-chenhuafulab-003	May 1, 2019	December 2024	December 2024	December 1, 2021		December 1, 2021	School of Life Science and Technology, University of Electronic Science and Technology, Chengdu, Sichuan, China		https://ClinicalTrials.gov/show/NCT05140356
24	NCT03887754	Therapeutic Issues for Autism		Completed	No Results Available	Autism Spectrum Disorder	Drug: Risperidone|Device: hyperbaric oxygen therapy|Drug: Non specific Multivitamin	Childhood Autism Rating Scale version 2 (CARS2)measured after one year and after two years to compare the effect of hyperbaric oxygen therapy, Risperidone, both of them and the placebo effect	Minia University	All	5 Years to 7 Years   (Child)	Phase 2	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	Autism Spectrum Disorder	January 2016	January 2018	December 2018	March 25, 2019		March 25, 2019			https://ClinicalTrials.gov/show/NCT03887754
25	NCT05551728	Autism Caregiver Coaching in Africa	ACACIA	Not yet recruiting	No Results Available	Autism or Autistic Traits	Behavioral: ESDM-informed caregiver coaching	Change from Baseline VABS-3 Communication Domain Standard Score at 6 months|Change from Baseline Griffiths III Language and Communication Developmental Quotient at 6 months|Change from Baseline JERI composite score at 3 months	Duke University|University of Cape Town	All	18 Months to 60 Months   (Child)	Not Applicable	320	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	Pro00111048	January 2023	March 2027	September 2027	September 23, 2022		September 23, 2022	University of Cape Town, Cape Town, West Cape, South Africa		https://ClinicalTrials.gov/show/NCT05551728
26	NCT05582655	Leveraging Autism Intervention for Families Using Telehealth (LIFT)	LIFT	Not yet recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: ONLINE|Behavioral: COACH	Change in Acceptability: Caregiver Diary|Change in Adoption: Caregiver Involvement Scale|Change in Fidelity: JASPER Coaching Fidelity|Change in Caregivers' JASPER Strategy Use: JASPER Implementation Fidelity|Change in Children's Time in Child Initiated Joint Engagement (Caregiver Child Interaction)	University of Oregon	All	up to 72 Months   (Child)	Not Applicable	80	Other	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	R324B200017	November 1, 2022	December 31, 2024	December 31, 2024	October 17, 2022		November 3, 2022			https://ClinicalTrials.gov/show/NCT05582655
27	NCT00252603	Galantamine Versus Placebo in Childhood Autism		Completed	No Results Available	Autism|Childhood Autism	Drug: Galantamine	Autism Diagnostic Observation Schedule-Generic (ADOS-G)- Change from Baseline to Final Visit|Clinical Global Impression Improvement (CGI)- Change from Baseline to Final Visit|Aberrant Behavior Checklist (ABC) (hyperactivity/irritability sections)- Change from Baseline to Final Visit|Vineland Adaptive Behavior Scale- Change from Baseline to Final Visit|MacArthur Communicative Development Inventory (MCDI)- Change from Baseline to Final Visit|Conners' Parent Rating Scale-Revised: Long form (CPRS-R:L)- Change from Baseline to Final Visit	University of Medicine and Dentistry of New Jersey|National Alliance for Autism Research|Rutgers, The State University of New Jersey	All	5 Years to 17 Years   (Child)	Phase 3	20	Other	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double|Primary Purpose: Treatment	4682	April 2004		April 2007	November 11, 2005		January 29, 2007	UMDNJ Robert Wood Johnson Medical School - Dept of Psychiatry, Piscataway, New Jersey, United States		https://ClinicalTrials.gov/show/NCT00252603
28	NCT00166621	Early Pharmacotherapy Aimed at Neuroplasticity in Autism : Safety and Efficacy		Completed	No Results Available	Autism	Drug: Buspirone	Safety will be measured by obtaining clinical laboratory tests, vital signs and evaluating probably or definitely related adverse events.|Population pharmacokinetics will be conducted to measure plasma concentrations in relation to the drug responses to buspirone.|The primary efficacy outcome will be the overall severity score from the Clinical Global Impressions assessment obtained from two raters, (parent and examiner)|Comparisons of allele, and genotype frequencies between responders and non-responders will be done for each polymorphism using Fisher's exact test to best predict response to buspirone.	Chugani, Diane C.	All	2 Years to 6 Years   (Child)	Phase 1|Phase 2	20	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double|Primary Purpose: Treatment	PPRU 10659s	March 2004		August 2005	September 14, 2005		July 20, 2011	PET Center/Children's Hospital of Michigan, Detroit, Michigan, United States		https://ClinicalTrials.gov/show/NCT00166621
29	NCT04679974	Melodic-based Communication Therapy for Promoting Spoken Language Development in Individuals With Nonverbal Autism	MBCT	Completed	No Results Available	Nonverbal and Low Verbal Autism	Behavioral: Melodic-based Communication Therapy	Number of spoken words|Frequency of repetitive and stereotypical behaviors	Loma Linda University	All	3 Years to 10 Years   (Child)	Not Applicable	10	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	5170235	June 17, 2018	August 16, 2018	August 30, 2018	December 22, 2020		December 22, 2020	Loma Linda University, Loma Linda, California, United States		https://ClinicalTrials.gov/show/NCT04679974
30	NCT02086110	Effect of Milk Oligosaccharides and Bifidobacteria on the Intestinal Microflora of Children With Autism		Completed	Has Results	Autism	Dietary Supplement: Synbiotic|Dietary Supplement: Prebiotic	Stool Microbiota Composition Change During Prebiotic Only Treatment|Stool Microbiota Composition Change During Synbiotic Treatment|Serum Immune Profile Change During Prebiotic Only Treatment	University of California, Davis	All	2 Years to 11 Years   (Child)	Not Applicable	11	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Basic Science	450072	June 6, 2014	November 16, 2015	November 16, 2015	March 13, 2014	August 1, 2019	August 1, 2019	UC Davis MIND Institute, Sacramento, California, United States		https://ClinicalTrials.gov/show/NCT02086110
31	NCT02591459	Android Mobile Devices to Assist Routine Anticipation for Autistic Children		Unknown status	No Results Available	Autism	Other: Using the app to assist routine anticipation	Increase in verbal communication	University of Mogi das Cruzes	All	3 Years to 9 Years   (Child)	Not Applicable	10	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)	49354415.0.0000.5497	October 2015	October 2015	December 2015	October 29, 2015		October 29, 2015	Centro de inclusão e Apoio ao Autista de Guarulhos (CIAAG), Guarulhos, Sao Paulo, Brazil		https://ClinicalTrials.gov/show/NCT02591459
