Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
11	NCT00695136	The Effect of Donepezil (Aricept(Registered Trademark)) on REM Sleep in Children With Autism		Completed	Has Results	Autism|Cognition Disorder	Drug: Donepezil hydrochloride|Behavioral: Increase REM sleep percentage	Change in Percentage of Time That Subjects With Autism Spend in REM Sleep.	National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)	All	2 Years to 10 Years   (Child)	Phase 1|Phase 2	17	NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)	080154|08-M-0154	June 2008	January 2011	January 2011	June 11, 2008	April 24, 2013	April 24, 2013	National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States		https://ClinicalTrials.gov/show/NCT00695136
12	NCT00005014	Treatment of Autism in Children and Adolescents		Completed	No Results Available	Autistic Disorder	Drug: Risperidone		National Institute of Mental Health (NIMH)	All	5 Years to 17 Years   (Child)	Phase 3	101	NIH	Interventional	Allocation: Randomized|Masking: Double|Primary Purpose: Treatment	N01 MH70001|N01 MH70009|N01 MH80011|N01 MH70010|DSIR CT	October 1997		February 2001	April 3, 2000		April 17, 2014	UCLA, Los Angeles, California, United States|Yale Univ, New Haven, Connecticut, United States|Indiana Univ / Riley Hosp for Children, Indianapolis, Indiana, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|Ohio State Univ, Columbus, Ohio, United States		https://ClinicalTrials.gov/show/NCT00005014
13	NCT03152383	Examination of Differential Valuation of Leisure Items and Attention as Reinforcers in Children With Autism		Completed	No Results Available	Autism	Behavioral: Training trials|Behavioral: Progressive Ratio Session|Behavioral: Re-test|Behavioral: Pairing Protocol	Breakpoint achieved for each stimulus|Change in breakpoints	Emory University|National Institute of Mental Health (NIMH)	All	2 Years to 6 Years   (Child)	Not Applicable	64	Other|NIH	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	IRB00056563|R21MH108873	June 22, 2012	December 31, 2020	December 31, 2020	May 15, 2017		March 1, 2021	Marcus Autism Center, Atlanta, Georgia, United States		https://ClinicalTrials.gov/show/NCT03152383
14	NCT05540574	Trial of Zolpidem for Sleep in Children With Autism		Not yet recruiting	No Results Available	Autism|Autism Spectrum Disorder	Drug: Zolpidem|Drug: Placebo	Change from baseline in sleep architecture as measured by polysomnography (PSG), examples include sleep latency and non-rapid eye movement (NREM)|Change from baseline in sleep efficiency as measured by actigraphy	Stanford University|National Institutes of Health (NIH)	All	8 Years to 17 Years   (Child)	Phase 2	26	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science	IRB-67221	January 1, 2023	June 30, 2027	June 30, 2027	September 14, 2022		November 30, 2022			https://ClinicalTrials.gov/show/NCT05540574
15	NCT05546554	Trial of Suvorexant for Sleep in Children With Autism		Not yet recruiting	No Results Available	Autism|Autism Spectrum Disorder	Drug: Suvorexant|Drug: Placebo	Change from baseline in sleep architecture as measured by polysomnography (PSG), examples include sleep latency and non-rapid eye movement (NREM)|Change from baseline in sleep efficiency as measured by actigraphy	Stanford University|National Institutes of Health (NIH)	All	13 Years to 17 Years   (Child)	Phase 2	26	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science	IRB-67222	January 1, 2023	June 30, 2027	June 30, 2027	September 21, 2022		November 30, 2022			https://ClinicalTrials.gov/show/NCT05546554
16	NCT00498173	Effectiveness of Atomoxetine in Treating ADHD Symptoms in Children and Adolescents With Autism		Completed	Has Results	Autism	Drug: Atomoxetine|Drug: Placebo	ADHD Rating Scale (ADHDRS)-Home Version Total Score (Randomized Phase)|ADHD Rating Scale (ADHDRS)-Home Version Inattention and Hyperactivity Scores (Randomized Phase)|Aberrant Behavior Checklist (ABC) (Randomized Phase)|Social Responsiveness Scale (SRS) (Randomized Phase)|Vineland Adaptive Behavior Scales (VABS) Composite Score (Randomized Phase)|Pediatric Quality of Life Inventory (Randomized Phase)|Pediatric Anxiety Rating Scale, 5-Item Total (Randomized Phase)|Odds of Clinical Global Impression-Improvement Scale, Very Much or Much Improved (1 or 2) (Randomized Phase)|Change in ADHD Rating Scale (ADHDRS)-Home Version Total Score (Open-label Trial)|Change in ADHD Rating Scale (ADHDRS)-Home Version Inattention and Hyperactivity Scores (Open-label Trial)|Change in Aberrant Behavior Checklist (ABC) (Open-label Trial)|Change in Social Responsiveness Scale (SRS) (Open-label Trial)|Change in Vineland Adaptive Behavior Scales (VABS) Composite Score (Open-label Trial)|Change in Pediatric Quality of Life Inventory (Open-label Trial)|Change in Pediatric Anxiety Rating Scale, 5-item Total (Open-label Trial)	Massachusetts General Hospital|National Institute of Mental Health (NIMH)	All	5 Years to 15 Years   (Child)	Phase 3	60	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	R01MH077600|DDTR B2-NDA	July 2007	October 2015	October 2015	July 9, 2007	August 14, 2017	August 14, 2017	Christian Sarkine Autism Treatment Center at Riley Hospital for Children, Indianapolis, Indiana, United States|Lurie Center - MassGeneral Hospital, Lexington, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT00498173
17	NCT05501678	Trial of Diphenhydramine for Sleep in Children With Autism		Not yet recruiting	No Results Available	Autism|Autism Spectrum Disorder	Drug: Diphenhydramine|Drug: Placebo	Change from baseline in sleep latency as measured by polysomnography (PSG)|Change from baseline in duration of non-rapid eye movement (NREM) sleep as measured by polysomnography (PSG)|Change from baseline in sleep efficiency as measured by polysomnography (PSG) and actigraphy	Stanford University|National Institutes of Health (NIH)	All	8 Years to 17 Years   (Child)	Phase 2	26	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science	IRB-66941	January 1, 2023	June 30, 2027	June 30, 2027	August 15, 2022		November 30, 2022			https://ClinicalTrials.gov/show/NCT05501678
18	NCT02037022	Pivotal Response Treatment Package for Young Children With Autism	PRT-P	Completed	No Results Available	Autism Spectrum Disorder (ASD)|Autism	Behavioral: Pivotal Response Treatment Package (PRT-P)	Change from Baseline in communication during parent-child and clinician-child interactions at 6, 12, and 24 weeks|Change from Baseline on the Preschool Language Scale, 5th Edition (PLS-5) at 12, and 24 weeks|Change from Baseline on the Sensory Profile Questionnaire at 6, 12, and 24 weeks|Change from Baseline on the Social Responsiveness Scale (SRS) at 6, 12, and 24 weeks|Change from Baseline on the MacArthur-Bates Communication Development Inventory at 6, 12, and 24 weeks|Change from Baseline on the Vineland Adaptive Behavior Scales, Second Edition (VABS-II) at 6, 12, and 24 weeks|Change from Baseline on the Behavior Rating Inventory of Executive Function, Preschool (BRIEF-P) at 6, 12, and 24 weeks|Change from Baseline on the Parenting Stress Index (PSI) at 6, 12, and 24 weeks|Change from Baseline on the Family Empowerment Scale (FES) at 6, 12, and 24 weeks|Change from Baseline on the Clinical Global Impression Scale at 6, 12, and 24 weeks|Change from Baseline on the Social attention and word-learning eye tracking task at 12, and 24 weeks	Stanford University|National Institute on Deafness and Other Communication Disorders (NIDCD)	All	2 Years to 5 Years   (Child)	Not Applicable	48	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRB-28314|R21DC013689	December 4, 2013	July 28, 2017	July 28, 2017	January 15, 2014		February 25, 2020	Stanford University School of Medicine, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT02037022
19	NCT04349644	Enhancing Social Competence in Adults With Autism		Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: SENSE Theatre	Change in Incidental Face Memory|Change in Contextual Assessment of Social Skills|Change in Social Responsiveness Scale - Self (SRS)|Change in Social Responsiveness Scale - Parent (SRS)|Cambridge Face Memory Test|Wechsler Memory Scale Face Memory Delay Test|Wechsler Memory Scale Face Memory Test|Adaptive Behavior Assessment System (ABAS) - Self-Report|Adaptive Behavior Assessment System (ABAS) - Parent-Report|State-Trait Anxiety Inventory (STAI) Scale|The Adult Self Report (ASR)|The Adult Behavior Checklist (ABCL)	Vanderbilt University Medical Center|National Institute of Mental Health (NIMH)	All	18 Years to 35 Years   (Adult)	Not Applicable	40	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	192271|1R33MH120149-01A1	October 21, 2020	April 1, 2023	April 1, 2023	April 16, 2020		February 21, 2022	Vanderbilt University Medical Center, Nashville, Tennessee, United States	"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/44/NCT04349644/ICF_000.pdf	https://ClinicalTrials.gov/show/NCT04349644
20	NCT02632773	Parent Language Intervention for Autism		Completed	No Results Available	Autism	Behavioral: Responsive Intervention|Behavioral: Directive Intervention	Parent Use of Language Support Strategies (Mother-child interaction)|Expressive vocabulary of the child as measured by transcribing and coding a 20 minute video of a therapist-child interaction in the clinic with a standard set of age-appropriate toys.|MacArthur-Bates Communicative Development Inventory (MCDI) (Child)	Northwestern University|National Institute on Deafness and Other Communication Disorders (NIDCD)	All	18 Months to 48 Months   (Child)	Not Applicable	108	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment	1R01DC014709-01	August 2015	March 2020	March 2020	December 17, 2015		July 16, 2021	Northwestern University, Evanston, Illinois, United States		https://ClinicalTrials.gov/show/NCT02632773
21	NCT02968225	Using Serious Game Technology to Improve Sensitivity to Eye Gaze in Autism	SAGA	Completed	No Results Available	Autism	Behavioral: Computer Game	Static Eye Gaze Following Task|Dynamic Eye Gaze Following Task|Social/Visual Attention Task|Social Responsiveness Scale|Social Skills Inventory System - Child version|Social Skills Inventory System - Adult version|Treatment as Usual	Penn State University|National Institute of Mental Health (NIMH)	All	10 Years to 18 Years   (Child, Adult)	Phase 2	40	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	R61MH110624	August 2016	October 2018	October 2018	November 18, 2016		March 5, 2021	Pennsylvania State University, University Park, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT02968225
22	NCT01944046	Study of Oxytocin in Autism to Improve Reciprocal Social Behaviors	SOARS-B	Completed	Has Results	Autism Spectrum Disorders	Drug: Double blind phase Placebo Nasal Spray|Drug: double Blind Oxytocin Nasal Spray|Drug: Open Label intranasal oxytocin	Change in Aberrant Behavior Checklist-Modified Social Withdrawal Subscale ABC-mSW, a Measure of Social Reciprocity|Change in Sociability Factor (SF)|Change in Social Responsiveness Scale-2 (SRS-2) Social Motivation Subscale Score|Change in Stanford Binet-5th Edition (SB-5) IQ Score	Linmarie Sikich|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Duke University	All	3 Years to 17 Years   (Child)	Phase 2	290	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	Pro00063950|1U01HD073984|13-0593	August 1, 2014	November 30, 2017	November 30, 2017	September 17, 2013	January 5, 2021	June 18, 2021	Lurie Center for Autism, Massachusetts General Hospital, Boston, Massachusetts, United States|Mount Sinai School of Medicine, New York, New York, United States|Center for Autism and the Developing Brain, White Plains, New York, United States|Duke Center for Autism and Brain Development, Durham, North Carolina, United States|Duke University , Genetics Center, Durham, North Carolina, United States|Vanderbilt University, Nashville, Tennessee, United States|Seattle Children's Hospital Research Institute, Seattle, Washington, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/46/NCT01944046/Prot_SAP_001.pdf	https://ClinicalTrials.gov/show/NCT01944046
23	NCT04283045	Community-based Adaptive Autism Intervention for Toddlers	CAIT	Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: JASPER|Behavioral: JASPER Plus+	Change in social communicative utterances (SCU) using Short Play and Communication Evaluation (SPACE)|Change in social communicative utterances (SCU) using JASPER Deployment Project Treatment Fidelity Checklist (TCX)|Change in play levels/types using the Short Play and Communication Evaluation (SPACE)|Change in joint engagement using the JASPER Deployment Project Treatment Fidelity Checklist (TCX)	University of California, Los Angeles|National Institutes of Health (NIH)	All	24 Months to 36 Months   (Child)	Not Applicable	350	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	19-000197	December 3, 2020	August 29, 2025	December 19, 2025	February 25, 2020		January 21, 2022	New York Center for Infants and Toddlers, Inc., New York, New York, United States		https://ClinicalTrials.gov/show/NCT04283045
24	NCT05300295	Mentorship Program for Individuals With Autism Spectrum Disorder (ASD)		Completed	Has Results	Autism Spectrum Disorder	Behavioral: Mentoring Program	Number of Sessions Attended|Participant Program Satisfaction Scores|Mentoring Relationship Quality|Child Behavior Checklist Scores (Internalizing Subscale)|Child Behavior Checklist Scores (Externalizing Subscale)|Youth Self-Report Scores (Internalizing Subscale)|Youth Self-Report Scores (Externalizing Subscale)|Social Skills Improvement System Scores (Social Competence Scale; Parent-report)|Social Skills Improvement System Scores (Problem Behavior Scale; Parent-report)|Social Skills Improvement System Scores (Social Competence Scale; Youth-report)|Social Skills Improvement System Scores (Problem Behavior Scale; Youth-report)	University of Minnesota|National Institutes of Health (NIH)	All	14 Years and older   (Child, Adult, Older Adult)	Not Applicable	13	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	STUDY00003954	January 1, 2019	May 31, 2020	May 31, 2020	March 29, 2022	October 21, 2022	October 21, 2022	University of Minnesota, Minneapolis, Minnesota, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/95/NCT05300295/Prot_SAP_000.pdf|"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/95/NCT05300295/ICF_001.pdf	https://ClinicalTrials.gov/show/NCT05300295
25	NCT00211757	Divalproex Sodium vs. Placebo in Childhood/Adolescent Autism		Completed	Has Results	Autism	Drug: Divalproex sodium|Drug: Placebo	Number of Participants Reporting Improvement on the Clinical Global Impression|Change in Aberrant Behaviors as Measured by the Aberrant Behavior Checklist Scores	Montefiore Medical Center|National Institute of Neurological Disorders and Stroke (NINDS)	All	5 Years to 17 Years   (Child)	Phase 2	27	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	01-0294|1R21NS043979	September 2002	July 2008	July 2008	September 21, 2005	December 6, 2018	December 6, 2018	Mount Sinai School of Medicine, New York, New York, United States		https://ClinicalTrials.gov/show/NCT00211757
26	NCT03033784	Autism Oxytocin Brain Project		Completed	Has Results	Autism|Autism Spectrum Disorder	Drug: 8 International Units (IU) of Oxytocin|Drug: 24IU of Oxytocin|Drug: 48IU of Oxytocin|Drug: Placebo	Resting State Functional Connectivity (rsFC) Salience Network (Anterior Cingulate Cortex (ACC) and Insula Versus Visual Cortex)|Blood Oxygen Level Dependent (BOLD) Activity in Response to Social Cues|Percent Change in Blood Oxygen Level Dependent (BOLD) Activity During Ball-Game Task|Oxytocin Plasma Concentration|Rate of Smiling During Global Clinical Interview|Milliseconds of Visual Fixation|Social Learning Test (SLT) Reaction Time	Emory University|National Institute of Mental Health (NIMH)	Male	18 Years to 45 Years   (Adult)	Phase 2	51	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	IRB00093455|P50MH100023	May 10, 2017	October 3, 2018	October 3, 2018	January 27, 2017	January 12, 2021	January 12, 2021	Emory University, Atlanta, Georgia, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/84/NCT03033784/Prot_SAP_001.pdf|"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/84/NCT03033784/ICF_002.pdf	https://ClinicalTrials.gov/show/NCT03033784
27	NCT01018407	Interventions for Communication in Autism Network	ICAN	Completed	No Results Available	Autism	Behavioral: Discrete Trial Training|Behavioral: Interpersonal Developmental Approach	Reynell Developmental Language Scale|McArthur-Bates Communicative Development Inventory (Word and Gestures Inventory and/or Words and Sentences Inventory)|Caregiver-child Interaction|Early Social Communication Scale|Structured Play Assessment	University of California, Los Angeles|National Institute of Mental Health (NIMH)	All	33 Months to 54 Months   (Child)	Not Applicable	192	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	1R01MH084864-01A109|1R01MH084864|DDTR B2-MBA	December 2009	June 2015	June 2015	November 23, 2009		June 8, 2015	University of California, Los Angeles, Los Angeles, California, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|University of Rochester, Rochester, New York, United States		https://ClinicalTrials.gov/show/NCT01018407
28	NCT03690661	Using Serious Games to Improve Social Skills in Autism	SAGA	Recruiting	No Results Available	Autism Spectrum Disorder|Autism	Behavioral: Intervention Video Game|Behavioral: Placebo Control Game	Primary Target Eye Gaze Mechanisms - Performance Accuracy|Primary Target Eye Gaze Mechanisms - Visual Fixation|Social Symptoms - Social Skills Inventory System (SSIS)|Autism Behaviors - Social Responsiveness Scale 2nd Edition (SRS-2)|Intermediate Face Processing Mechanisms - Face Identity (CFMT)|Intermediate Face Processing Mechanisms - Object Identity (CBMT)|Intermediate Face Processing Mechanisms - Face Expression Identification - (CAM)|Intermediate Face Processing Mechanisms - Face Expression Identification - (RMET)|Face-to-Face Social Interactions - Visual Fixations	Penn State University|National Institute of Mental Health (NIMH)	All	10 Years to 18 Years   (Child, Adult)	Not Applicable	60	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Basic Science	R33MH110624	December 1, 2019	July 31, 2023	July 31, 2023	October 1, 2018		July 7, 2022	Pennsylvania State University, University Park, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT03690661
29	NCT05494398	Targeting the Neurobiology of RRB in Autism Using N-acetylcysteine: Open Label		Enrolling by invitation	No Results Available	Autism Spectrum Disorder	Drug: N-acetylcysteine	Change in glutamatergic neurometabolites (Glx) measured by proton spectroscopy Magnetic Resonance Imaging (MRI)|Change in restricted and repetitive behaviors as measured by Children's Yale Brown Obsessive Compulsive Scale - Autism Spectrum Disorder (CYBOCS-ASD)|Change in Gamma band amplitude and synchronization measured by electroencephalography (EEG)|Change in restricted repetitive behavior subtypes as measured by the Restricted Behavior Scale - Revised (RBS-R)	Stanford University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	3 Years to 12 Years   (Child)	Phase 2|Phase 3	48	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRB-64292|K99HD101702	November 15, 2022	September 2027	September 2028	August 10, 2022		December 9, 2022	Stanford University School of Medicine, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT05494398
