Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
40	NCT02901431	A Study to Investigate the Efficacy and Safety of Balovaptan (RO5285119) in Participants With Autism Spectrum Disorder (ASD)		Terminated	Has Results	Autism Spectrum Disorder	Drug: Placebo|Drug: RO5285119	Change From Baseline in Vineland™-II Adaptive Behavior Scale Two Domain Composite (2DC) Score at Week 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Vineland™-II Composite Standard Score After 12 Weeks and 24 Weeks of Treatment for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Vineland™-II Adaptive Behavior Scale Communication, Socialization, and Daily Living Skills Domain Standard Scores at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Proportion of Subjects With >=6 Points Improvement in the Vineland-II 2DC Score for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Clinical Global Impressions-Severity (CGI-S) Score at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Ohio Autism Clinical Impressions Scale-Severity (OACIS-S) Score at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Clinical Global Impressions- Improvement (CGI-I) Score at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Ohio Autism Clinical Impressions Scale- Improvement (OACIS-I) Score at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Patient-Reported Pediatric Quality of Life (PedsQL) v4.0 Generic Core Scale After 12 Weeks and 24 Weeks of Treatment for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Vineland-II Composite Standard Score in Adolescents and Children Independently at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Vineland-II Adaptive Behavior Scale 2DC Score at Week 12 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Percentage of Participants With Adverse Events for Treatment With Balovaptan	Hoffmann-La Roche	All	5 Years to 17 Years   (Child)	Phase 2	339	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	BP30153	November 21, 2016	April 15, 2020	June 30, 2020	September 15, 2016	February 8, 2021	February 8, 2021	Harmonex Neuroscience Research, Dothan, Alabama, United States|Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|NRC Research Institute, Orange, California, United States|PCSD Feighner Research, San Diego, California, United States|University of California at San Francisco, San Francisco, California, United States|Children's Hospital of Colorado, Aurora, Colorado, United States|DBA IMMUNOe Int'l Res Center, Centennial, Colorado, United States|Yale University / Yale-New Haven Hospital, New Haven, Connecticut, United States|Sarkis Clinical Trials, Gainesville, Florida, United States|Segal trials, North Miami, Florida, United States|Medical Research Group of Central Florida, Orange City, Florida, United States|APG- Advanced Psychiatric Group, Orlando, Florida, United States|USF Rothman Center, Saint Petersburg, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|Capstone Clinical Research, Libertyville, Illinois, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Boston Childrens Hospital, Boston, Massachusetts, United States|Massachusetts General Hospital; Lurie Center for Autism, Lexington, Massachusetts, United States|UMASS Medical School, Worcester, Massachusetts, United States|University of Minnesota; Clin. Neuro Research Unit, Minneapolis, Minnesota, United States|St. Charles Psychiatric Associates, Saint Charles, Missouri, United States|Midwest Childrens Health Research Institute, Lincoln, Nebraska, United States|Albert Einstein College of Medicine, Bronx, New York, United States|Center for Autism and the Developing Brain, New York, New York, United States|Nathan S. Kline Institute for Psychiatric Research, Orangeburg, New York, United States|University of Rochester, Rochester, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|DUKE SCHOOL OF MEDICINE;Duke Center for Autism and Brain Development, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|University Hospitals, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|Suburban Research Associates, Media, Pennsylvania, United States|Children's Hospital of Philadelphia;Allergy/Immunology Department, Philadelphia, Pennsylvania, United States|UPMC Western Psychiatric Institute and Clinic, Pittsburgh, Pennsylvania, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|BioBehavioral Research of Austin, PC, Austin, Texas, United States|Relaro Medical Trials, Dallas, Texas, United States|Red Oak Psychiatry Associates, PA, Houston, Texas, United States|Road Runner Research, San Antonio, Texas, United States|Northwest Clinical Research Center, Bellevue, Washington, United States|Pacific Institute of Medical Sciences, Bothell, Washington, United States|Core Clinical Research, Everett, Washington, United States|Seattle Children's Research Institute; Psychiatry and Behavioral Medicine, Seattle, Washington, United States	"Study Protocol", https://ClinicalTrials.gov/ProvidedDocs/31/NCT02901431/Prot_000.pdf|"Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/31/NCT02901431/SAP_001.pdf	https://ClinicalTrials.gov/show/NCT02901431
41	NCT04895215	AB-2004 in Treatment of Adolescents With Irritability Associated With Autism Spectrum Disorder (ASD)		Recruiting	No Results Available	Autism Spectrum Disorder (ASD)	Drug: AB-2004|Drug: Placebo	The mean change in the ABC-I score (Irritability) from Baseline to Week 8 for AB-2004 High Dose|The mean change in the ABC-I score (Irritability) from Baseline to Week 8 for AB-2004 Low Dose|The mean change in the Clinical Global Impression-Severity (CGI-S) from Baseline to Week 8 for AB-2004 High Dose and AB-2004 Low Dose|Number of participants who reported treatment emergent adverse events (TEAEs)	Axial Therapeutics, Inc.	All	13 Years to 17 Years   (Child)	Phase 2	195	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	AXL-2004-002	August 2, 2021	December 2022	June 2023	May 20, 2021		August 18, 2022	Southwestern Autism Research and Resource Center, Phoenix, Arizona, United States|University of Arizona, Tucson, Arizona, United States|University of California, Davis-MIND Institute, Sacramento, California, United States|University of California, San Francisco, California, United States|Cortica Marin, San Rafael, California, United States|Michael Purdy, Westlake Village, California, United States|Yale University, New Haven, Connecticut, United States|CNS Solutions, Jacksonville, Florida, United States|CNS Solutions, Orlando, Florida, United States|University of South Florida, Tampa, Florida, United States|Baber Research, Naperville, Illinois, United States|LSU Health- Shreveport, Shreveport, Louisiana, United States|Massachusetts General Hospital, Lurie Center, Lexington, Massachusetts, United States|Catherine Masters, Bloomfield Hills, Michigan, United States|Clinical Research of Southern Nevada, Las Vegas, Nevada, United States|Nathan S. Kline Institute for Psychiatric Research, Orangeburg, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|jasmine Sanders, Columbus, Ohio, United States|Carilion Medical Center, Roanoke, Virginia, United States|Murdoch Children's Research Institute, Parkville, Victoria, Australia|Children's Health Queensland Hospital, South Brisbane, Australia|Westmead Children's Hospital, Sydney, Australia|Optimal Clinical Trials, Auckland, New Zealand		https://ClinicalTrials.gov/show/NCT04895215
42	NCT05182697	SCI-210 in the Treatment of Children and Young Adults With AutismEvaluate the Safety, Tolerability and Efficacy of SCI-210 in Children With Autism Spectrum Disorder (ASD)		Not yet recruiting	No Results Available	Autism Spectrum Disorder (ASD)	Drug: SCI-210|Drug: Oral CBD oil	Evaluation of the safety of SCI-210 in the treatment of Autism Spectrum Disorders (ASD)|Evaluation of the efficacy of SCI-210 in the treatment of Autism Spectrum Disorders (ASD)|Evaluate the safety of SCI-210 in children with ASD.|Evaluate the tolerability of SCI-210 in children with ASD.|Assess the efficacy of SCI-210 in reducing disruptive behaviors among children with ASD|Assess the efficacy of SCI-210 in reducing sleep problems among children with ASD|Assess the efficacy of SCI-210 in reducing ASD symptoms among children with ASD.|Assess the efficacy of SCI-210 in improving adaptive behaviors among children with ASD|Assess the efficacy of SCI-210 in improving language abilities among children with ASD|Assess the effects of SCI-210 on eye tracking measures when viewing social movies.	SciSparc|Negev Autism Center Soroka University Medical Center	All	5 Years to 18 Years   (Child, Adult)	Not Applicable	60	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	SCRC21013	October 2022	June 2024	December 2024	January 10, 2022		May 5, 2022	Clinical Research Center and Negev Autism Center Soroka University Medical Center, Be'er-Sheva, Israel, Be'er-Sheva, Israel		https://ClinicalTrials.gov/show/NCT05182697
43	NCT05413187	A Trial to Assess the Efficacy and Safety of Medical Grade Cannabis in Children Diagnosed With Autism Spectrum Disorder		Withdrawn	No Results Available	Autistic Disorder	Drug: Medical Grade Cannabis oil|Drug: Placebos	change in symptoms of Autism spectrum disorder|change in score of The Clinical Global Impressions-Improvement (CGI-I)|change in score of Sensory Profile II (SP-2)|Changes in eye movements|Changes in the sleep architecture (optional)	TO Pharmaceuticals	All	2 Years to 8 Years   (Child)	Phase 2	0	Industry	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	SCRC17039	September 1, 2020	September 1, 2022	September 1, 2022	June 9, 2022		June 9, 2022	Soroka University Medical Center, Beer Sheva, Israel		https://ClinicalTrials.gov/show/NCT05413187
44	NCT00846547	Open-Label Study of the Safety and Tolerability of STX209 in Subjects With Autism Spectrum Disorders		Completed	Has Results	Autism Spectrum Disorders	Drug: Arbaclofen	Irritability Subscale of the Aberrant Behavior Checklist, Community Version	Seaside Therapeutics, Inc.	All	6 Years to 17 Years   (Child)	Phase 2	32	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	22003	February 2009	June 2010	September 2010	February 18, 2009	June 14, 2013	June 14, 2013	Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|University of California-Los Angeles Neuropsychiatric Institute, Los Angeles, California, United States|Yale Child Study Center, New Haven, Connecticut, United States|Riley Hospital for Children, Indianapolis, Indiana, United States|University of North Carolina Neurosciences Hospital, Chapel Hill, North Carolina, United States|Vanderbilt Kennedy Center, Nashville, Tennessee, United States|Red Oaks Psychiatry Associates, PA, Houston, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States		https://ClinicalTrials.gov/show/NCT00846547
45	NCT02414503	Effects of Intranasal Administration of a Single Dose of Oxytocin Using a Novel Device in Adults With Autism Spectrum Disorder		Completed	No Results Available	Autism Spectrum Disorder	Drug: 8IU intranasal oxytocin|Drug: 24IU intranasal oxytocin|Drug: Placebo|Device: OptiNose Breath Powered Bi	Performance on an emotion sensitivity test|Performance on a facial emotion morphing task|Performance on the reading the mind in the eyes test|Performance on an emotional dot probe task|Heart rate variability|Eyetracking	OptiNose AS|Oslo University Hospital|University of Oslo	Male	18 Years to 35 Years   (Adult)	Phase 1|Phase 2	17	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science	SMR-2728|2014-005452-26	April 2015	February 2016	February 2016	April 10, 2015		September 27, 2016	NORMENT, KG Jebsen Centre for Psychosis Research - TOP Study, Oslo, Norway		https://ClinicalTrials.gov/show/NCT02414503
46	NCT02226458	An Exploratory Open Label Study of EPI-743 (Vincerinone TM) in Children With Autism Spectrum Disorder	Autism	Withdrawn	No Results Available	Autism Spectrum Disorder	Drug: EPI-743	Primary Efficacy|Secondary Endpoint|Safety Endpoint	Edison Pharmaceuticals Inc	All	3 Years to 14 Years   (Child)	Phase 2	0	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	EPI743-14-025	October 31, 2014	November 30, 2015	January 31, 2016	August 27, 2014		January 21, 2022			https://ClinicalTrials.gov/show/NCT02226458
47	NCT04299464	A 12-Week Placebo-Controlled Study to Investigate the Efficacy, Safety, and Tolerability of RO7017773 in Participants Aged 15-45 Years With Autism Spectrum Disorder (ASD)		Recruiting	No Results Available	Autism Spectrum Disorder (ASD)	Drug: Placebo|Drug: RO7017773	Change from Baseline to Week 12 in the Adaptive Behavior Composite score of the Vineland Adaptive Behavior Scales, Third Edition (Vineland-3)|Percentage of Participants with Adverse Events (AEs)|Percentage of Participants with Serious Adverse Events (SAEs)|Percentage of Participants Discontinuing Treatment due to AEs|Change from Baseline Over Time in Suicide Risk Using the Columbia-Suicide-Severity Rating Scale (C-SSRS)|Change from Baseline to Week 12 in Behavior/Symptoms as Measured by all Domains of the Repetitive Behavior Scale-Revised (RBS-R)|Change from Baseline to Week 12 on the Vineland-3 Socialization Domain|Change from baseline to Week 12 on the Vineland-3 Communication domains	Hoffmann-La Roche	All	15 Years to 45 Years   (Child, Adult)	Phase 2	105	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	BP41316|2019-003524-20	March 31, 2021	September 30, 2023	September 30, 2023	March 6, 2020		December 7, 2022	Southwest Autism Research and Resource Center, Phoenix, Arizona, United States|University of California at San Francisco, San Francisco, California, United States|MCB Clinical Research Centers, Colorado Springs, Colorado, United States|Yale University / Yale-New Haven Hospital, New Haven, Connecticut, United States|Research Centers of America, LLC, Oakland Park, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|Capstone Clinical Research, Libertyville, Illinois, United States|Lake Charles Clinical Trials, LLC, Lake Charles, Louisiana, United States|Massachusetts General Hospital; Lurie Center for Autism, Lexington, Massachusetts, United States|University of Minnesota, Minneapolis, Minnesota, United States|Montefiore Medical Center, Bronx, New York, United States|Nathan Kline Institute, Orangeburg, New York, United States|University Hospitals, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|UPMC Western Psychiatric Institute and Clinic, Pittsburgh, Pennsylvania, United States|Vanderbilt Medical Center, Nashville, Tennessee, United States|BioBehavioral Research of Austin, PC, Austin, Texas, United States|Relaro Medical Trials, Dallas, Texas, United States|Road Runner Research, San Antonio, Texas, United States|Core Clinical Research, Kirkland, Washington, United States|Okanagan Clinical Trials, Kelowna, British Columbia, Canada|Janeway Childrens Health; and Rehabilitation Centre, St. John's, Newfoundland and Labrador, Canada|Holland Bloorview Kids Rehabilitation Hospital; Autism Research Centre, East York, Ontario, Canada|AOU Policlinico Tor Vergata, Università Roma Tor Vergata, Roma, Lazio, Italy|Ist. G. Gaslini; UOC Neuropsichiatria Infantile, Genova, Liguria, Italy|Istituto Scientifico Medea; U.O Psicopatologia età evolutiva, Bosisio Parini (LC), Lombardia, Italy|ASST di Pavia; Dip. di Scienze del Sistema Nervoso e del Comportamento, Pavia, Lombardia, Italy|P.O. Gaspare Rodolico; UOC Clinica Psichiatrica, Catania, Sicilia, Italy|IRCCS Fondazione Stella Maris; U.O. Complessa NPI 3 - Psichiatria dello sviluppo, Calambrone (PI), Toscana, Italy|Hospital Santa Caterina; Servicio de Psiquiatría, Salt, Girona, Spain|IGAIN (Instituto Global de Atención Integral al Neurodesarrollo), Barcelona, Spain|Hospital Universitari Vall d'Hebron; Sevicio de Psiquiatría, Barcelona, Spain|Hospital Universitario Infanta Leonor; Servicio de Psiquiatría, Madrid, Spain		https://ClinicalTrials.gov/show/NCT04299464
48	NCT01793441	A Study of RG7314 to Investigate Efficacy and Safety in Individuals With Autism Spectrum Disorders (ASD)		Completed	No Results Available	Autism Spectrum Disorder	Drug: Placebo|Drug: RG7314	Change From Baseline in Social Communication Deficits as Measured by Social Responsiveness Scale 2 (SRS-2)|Percentage of Participants with Suicidality, as Measured by the Columbia-Suicide Severity Rating Scale (C-SSRS)|Percentage of Participants With Adverse Events|Change From Baseline in Behavior/Symptoms as Measured by Aberrant Behavior Checklist (ABC)|Change From Baseline in Behavior/Symptoms as Measured by Repetitive Behavior Scale-Revised (RBS-R)|Change From Baseline in Behavior/Symptoms as Measured by Anxiety, Depression and Mood Scale (ADAMS)|Measure: Change From Baseline in Behavior/Symptoms as Measured by State-Trait Anxiety Inventory (STAI)|Change From Baseline in Clinical Global Impressions as Measured by Clinical Global Impressions Improvement (CGI-I) Scale|Change From Baseline in Adaptive Functioning and Skills as Measured by Vineland-II Adaptive Behavior Scale (VABS)|Plasma Concentration of RG7314|Plasma Concentration of RG7314 Metabolite M3|Area Under the Plasma Concentration Versus Time Curve From Time Zero to Last Measurable Concentration (AUClast) of RG7314|AUClast of RG7314 Metabolite M3|Maximum Observed Plasma Concentration (Cmax) of RG7314|Cmax of RG7314 Metabolite M3|Percentage of Participants With Clinical Response, Defined as At Least 25% Improvement in the SRS-2 Score With a CGI-I Score of 1 or 2	Hoffmann-La Roche	Male	18 Years to 45 Years   (Adult)	Phase 2	223	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	BP28420|2012-005597-55	September 2013	September 2016	September 2016	February 15, 2013		February 3, 2017	Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|Phoenix, Arizona, United States|University of California Davis, Sacramento, California, United States|Sacramento, California, United States|PCSD Feighner Research, San Diego, California, United States|San Diego, California, United States|University of California at San Francisco, San Francisco, California, United States|San Francisco, California, United States|Santa Ana, California, United States|Stanford, California, United States|DBA IMMUNOe Int'l Res Center, Centennial, Colorado, United States|Centennial, Colorado, United States|Yale University; Yale Child Study Center, New Haven, Connecticut, United States|New Haven, Connecticut, United States|Neurology offices of south florida, Delray Beach, Florida, United States|Delray Beach, Florida, United States|Research Centers of America, LLC, Oakland Park, Florida, United States|Oakland Park, Florida, United States|Compass Research, Orlando, Florida, United States|Orlando, Florida, United States|Emory University School of Medicine; Department of Human Genetics & Pediatrics, Decatur, Georgia, United States|Decatur, Georgia, United States|Rush University Medical Center, Chicago, Illinois, United States|Chicago, Illinois, United States|The Kennedy Krieger Institute, Baltimore, Maryland, United States|Baltimore, Maryland, United States|Neuroscientific Insights, Rockville, Maryland, United States|Rockville, Maryland, United States|Massachusetts General Hospital, Lexington, Massachusetts, United States|Lexington, Massachusetts, United States|University of Minnesota; Clin. Neuro Research Unit, Minneapolis, Minnesota, United States|Minneapolis, Minnesota, United States|Montefiore Medical Center; Departments of Psychiatry & Biobehavioral Science, Bronx, New York, United States|Bronx, New York, United States|Mount Sinai School of Medicine; Seaver Autism Center, New York, New York, United States|New York, New York, United States|Nathan S. Kline Institute for Psychiatric Research, Orangeburg, New York, United States|Orangeburg, New York, United States|DUKE SCHOOL OF MEDICINE;Duke Center for Autism and Brain Development, Durham, North Carolina, United States|Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Cincinnati, Ohio, United States|University Hospitals, Cleveland, Ohio, United States|Cleveland, Ohio, United States|UPMC Western Psychiatric Institute and Clinic, Pittsburgh, Pennsylvania, United States|Pittsburgh, Pennsylvania, United States|Vanderbilt Medical Center, Nashville, Tennessee, United States|Nashville, Tennessee, United States|Road Runner Research, San Antonio, Texas, United States|San Antonio, Texas, United States|Northwest Clinical Research Center, Bellevue, Washington, United States|Bellevue, Washington, United States|Pacific Institute of Medical Sciences, Bothell, Washington, United States|Bothell, Washington, United States|Seattle Children's Research Institute, Seattle, Washington, United States|Seattle, Washington, United States		https://ClinicalTrials.gov/show/NCT01793441
49	NCT02708069	e-Unstuck:Interactive e-Learning Software for Parents to Support Executive Functioning and Behavior Regulation in Children With Autism Spectrum Disorder	e-Unstuck	Completed	No Results Available	Autistic Disorder	Other: e-Unstuck|Other: Unstuck and On Target	Change from baseline in ratings of top three child EF difficulties interference with daily functioning as measured on the Top Executive Functioning Difficulties.|Change from baseline in child executive function using the Behavior Rating of Executive Function-II (BRIEF-II).|Change from baseline in parental self-efficacy on the Parenting Sense of Competence Scale.|Change from Baseline in parental perceptions of caregiving as measured on the Caregiver Questionnaire	3-C Institute for Social Development|Children's National Health System	All	Child, Adult, Older Adult	Not Applicable	97	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	1R44MH109193	March 1, 2017	February 28, 2018	February 28, 2018	March 15, 2016		July 31, 2018	Children's National Health System, Rockville, Maryland, United States|3C Institute, Durham, North Carolina, United States		https://ClinicalTrials.gov/show/NCT02708069
50	NCT05555615	Extension Study of Pimavanserin in Irritability Associated With Autism Spectrum Disorder		Recruiting	No Results Available	Irritability Associated With Autism Spectrum Disorder	Drug: Pimavanserin	Treatment-emergent adverse events|Evaluate the continued response to long-term pimavanserin treatment in children and adolescents with irritability associated with ASD, defined by a composite endpoint of ABC-I and CGI-I response.	ACADIA Pharmaceuticals Inc.	All	5 Years to 18 Years   (Child, Adult)	Phase 2|Phase 3	228	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ACP-103-070	November 2, 2022	July 2025	July 2025	September 27, 2022		December 7, 2022	Cortica Inc., San Rafael, California, United States|Clinical Research of Southern Nevada, LLC, Las Vegas, Nevada, United States		https://ClinicalTrials.gov/show/NCT05555615
51	NCT00337571	Study of Aripiprazole in the Treatment of Children and Adolescents With Autistic Disorder (AD)		Completed	Has Results	Behavioral Symptoms|Autistic Disorder	Drug: Aripiprazole|Drug: Placebo	Mean Change (Week 8 - Baseline) in the Autistic Behavior Checklist (ABC) Irritability Subscale Score|Mean Clinical Global Impressions Improvement Scale (CGI-I) Score|Number of Participants With Response at Week 8|Mean Change (Week 8 - Baseline) in the Children's Yale-Brown Obsessive Compulsive Scale (CY-BOCS; Compulsion Scale Only)|Mean Change (Week 8 - Baseline) in the Other ABC Subscale Scores|Mean Change (Week 8 - Baseline) in CGI-Severity (CGI-S)|Summary of Safety|Change From Baseline in Body Weight	Otsuka Pharmaceutical Development & Commercialization, Inc.|Otsuka America Pharmaceutical	All	6 Years to 17 Years   (Child)	Phase 3	218	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	CN138-179	June 2006	June 2008	June 2008	June 16, 2006	July 23, 2009	December 2, 2013	University Of Alabama At Birmingham, Birmingham, Alabama, United States|Harmonex Neuroscience, Dothan, Alabama, United States|Southwest Autism Research And Resource Center, Phoenix, Arizona, United States|Clinical Innovations, Inc., Huntington Beach, California, United States|University Of California-Davis Medical Center, Sacramento, California, United States|Stanford University School Of Medicine, Stanford, California, United States|The Children'S Hospital, Aurora, Colorado, United States|Marsella, Gregory, Boca Raton, Florida, United States|University Of Florida, Gainesville, Florida, United States|University Of South Florida, Tampa, Florida, United States|Institute For Behavioral Medicine, Smyrna, Georgia, United States|University Of Illinois At Chicago, Chicago, Illinois, United States|Cambridge Health Alliance, Medford, Massachusetts, United States|Ladders Clinic, Wellsley, Massachusetts, United States|Children'S Hospital Of Michigan, Detroit, Michigan, United States|Regions Hospital, St. Paul, Minnesota, United States|Children'S Mercy Hospital, Kansas City, Missouri, United States|Munroe-Meyer Institute, Omaha, Nebraska, United States|North Shore - Long Island Jewish Health System, Bethpage, New York, United States|Seaver And New York Autism Center Of Excellence, New York, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Mission Hospitals, Asheville, North Carolina, United States|Duke Child And Family Study Center, Durham, North Carolina, United States|The Nisonger Center, Columbus, Ohio, United States|Cutting Edge Research, Oklahoma City, Oklahoma, United States|Western Psychiatric Institute And Clinic, Pittsburgh, Pennsylvania, United States|Dallas Pediatric Neurology Associates, Dallas, Texas, United States|Bayou City Research, Ltd., Houston, Texas, United States|Children'S National Medical Center, Fairfax, Virginia, United States|Pacific Institute Of Medical Sciences, Bothell, Washington, United States|Children'S Hospital Of Wisconsin, Milwaukee, Wisconsin, United States		https://ClinicalTrials.gov/show/NCT00337571
52	NCT04382885	Cariprazine Pediatric ASD PK Study		Completed	No Results Available	Autism Spectrum Disorder	Drug: Cariprazine	Incidence of Adverse Events (AEs)|Incidence of Serious Adverse Events (SAEs)|Incidence of AEs leading to discontinuation|Percentage of participants with potentially clinically significant values in clinical laboratory assessments|Percentage of participants with potentially clinically significant values in vital signs assessments|Percentage of participants with potentially clinically significant values in ECG assessments|Percentage of participants who have suicidal ideation or suicidal behaviors in C-SSRS assessments|Percentage of participants with treatment-emergent parkinsonism in SAS assessments|Percentage of participants with treatment-emergent akathisia in BARS assessments|Percentage of participants with potentially clinically significant values in ocular examination parameters|Pharmacokinetics: Maximum plasma concentrations (Cmax) of cariprazine and its metabolites DCAR and DDCAR on Days 1 and 42|Pharmacokinetics: Time of maximum plasma concentrations (Tmax) of cariprazine and its metabolites DCAR and DDCAR on Days 1 and 42|Pharmacokinetics: Area under the plasma concentration-time curve during the dosing interval (AUC0-tau) of cariprazine and its metabolites DCAR and DDCAR on Days 1 and 42|Pharmacokinetics: Terminal elimination half-life (T1/2) of cariprazine and its metabolites DCAR and DDCAR|Pharmacokinetics: Minimum plasma concentrations (Cmin) during the dosing interval of cariprazine and its metabolites DCAR and DDCAR on Day 42|Pharmacokinetics: Average plasma concentrations (Cavg) during the dosing interval of cariprazine and its metabolites DCAR and DDCAR on Day 42|Pharmacokinetics: Apparent total clearance of cariprazine from plasma (CL/F) on Day 42|Pharmacokinetics: Volume of distribution during the terminal elimination phase (Vz/F) of cariprazine	AbbVie	All	5 Years to 17 Years   (Child)	Phase 1	24	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2000-103-009	June 26, 2020	December 10, 2021	December 10, 2021	May 11, 2020		April 12, 2022	Neuropsychiatric Research Center of Orange County /ID# 233663, Orange, California, United States|Atlanta Center for Medical Research /ID# 233576, Atlanta, Georgia, United States|iResearch Atlanta, LLC /ID# 233614, Decatur, Georgia, United States		https://ClinicalTrials.gov/show/NCT04382885
53	NCT00515320	Study of Fluoxetine in Autism	SOFIA	Completed	No Results Available	Autistic Disorder	Drug: Fluoxetine|Drug: Placebo	The percentage change from baseline to the endpoint visit for the CYBOCS-PDD score.|The time and dose related course of therapeutic effects|The inter-relationship between these effects in the context of global clinical changes.|The indirect effects on patient caregivers of the dose regime in these subjects compared to placebo during treatment.|Safety measures will be physical examination, vital signs, EKG/ECG & clinical laboratory tests.	Neuropharm|Autism Speaks	All	5 Years to 17 Years   (Child)	Phase 3	158	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	NPL-2008-4-AUTUS-004	August 2007	January 2009	January 2009	August 13, 2007		April 27, 2012	Southwest Autism Research and Resource Centre, Phoenix, Arizona, United States|University of California Davis, Sacramento, California, United States|University of Florida, Department of Psychiatry, Gainesville, Florida, United States|Institute for Behavioral Medicine, Smyrna, Georgia, United States|University of Illinois, Chicago, Illinois, United States|AMR-Baber Research Inc., Naperville, Illinois, United States|Harvard Medical School, Medford, Massachusetts, United States|Children's Hospital of Michigan, Detroit, Michigan, United States|Center for Psychiatry and Behavioral Medicine, Las Vegas, Nevada, United States|CRCNJ, Voorhees, New Jersey, United States|Long Island Jewish Hospital, Bethpage, New York, United States|Mount Sinai School of Medicine, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|Western Psychiatric Institute and Clinic/ Merck Child Outpatient Clinic, Pittsburgh, Pennsylvania, United States|Red Oak Psychiatry Associates, Houston, Texas, United States|Seattle Children's Hosptial University of Washington, Seattle, Washington, United States		https://ClinicalTrials.gov/show/NCT00515320
